customer_state,total_orders,total_customers,total_revenue,avg_order_value
"Sao Paulo",41375,39981,5205192,125.81
"Rio de Janeiro",12762,12303,1824815,142.99
"Minas Gerais",11544,11178,1585942,137.38
"Rio Grande do Sul",5432,5249,750641,138.19
Parana,4998,4840,683358,136.73
"Santa Catarina",3612,3513,520749,144.17
Bahia,3358,3257,511534,152.33
"Distrito Federal",2125,2062,302703,142.45
Goias,2007,1942,294695,146.83
"Espirito Santo",2025,1956,275128,135.87
Pernambuco,1648,1605,262873,159.51
Ceara,1327,1305,227310,171.30
Para,970,944,178996,184.53
"Mato Grosso",903,873,156503,173.31
Maranhao,740,719,119683,161.73
"Mato Grosso do Sul",709,688,116846,164.80
Paraiba,532,516,115295,216.72
Piaui,493,481,86937,176.34
"Rio Grande do Norte",482,471,83065,172.33
Alagoas,411,399,80337,195.47
Sergipe,345,338,58942,170.85
Tocantins,279,272,49633,177.90
Rondonia,247,235,46152,186.85
Amazonas,147,142,22362,152.12
Acre,81,77,15988,197.38
Amapa,68,67,13476,198.18
Roraima,46,45,7834,170.30
