month,total_orders,total_revenue,avg_order_value
Sep-16,3,268,89.33
Oct-16,308,49530,160.81
Dec-16,1,11,11
Jan-17,789,120379,152.57
Feb-17,1733,247419,142.77
Mar-17,2641,374508,141.81
Apr-17,2391,360081,150.6
May-17,3660,506331,138.34
Jun-17,3217,433261,134.68
Jul-17,3969,498268,125.54
Aug-17,4293,574239,133.76
Sep-17,4243,624623,147.21
Oct-17,4568,664479,145.46
Nov-17,7451,1010705,135.65
Dec-17,5624,744212,132.33
Jan-18,7220,950434,131.64
Feb-18,6694,844525,126.16
Mar-18,7188,983598,136.84
Apr-18,6934,996982,143.78
May-18,6853,996839,145.46
Jun-18,6160,865403,140.49
Jul-18,6273,895778,142.8
Aug-18,6452,854971,132.51
Sep-18,1,145,145
